City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,lashio,22.9333,97.75,33.95,16,3,3.4,MM,2023-04-05 09:00:00
125,kaitangata,-46.2817,169.8464,15.98,60,32,3.9,NZ,2023-04-05 09:00:00
126,adrar,20.5022,-10.0711,20.24,36,83,7.54,MR,2023-04-05 09:00:00
127,bonthe,7.5264,-12.505,28.18,83,23,3.26,SL,2023-04-05 09:00:00
128,bunia,1.5667,30.25,23.22,89,100,3.78,CD,2023-04-05 09:00:00
129,maridi,4.9158,29.4742,35.91,36,100,3.61,SS,2023-04-05 09:00:00
130,port hardy,50.6996,-127.4199,4.9,67,83,2.86,CA,2023-04-05 09:00:00
131,santa rosa,14.3122,121.1114,31.1,60,84,6.2,PH,2023-04-05 09:00:00
132,nikolskoye,59.7035,30.7861,2.48,100,100,2.99,RU,2023-04-05 09:00:00
133,broome,42.2506,-75.833,7.3,83,27,2.2,US,2023-04-05 09:00:00
134,keskin,39.6731,33.6136,10.31,66,90,5.34,TR,2023-04-05 09:00:00
135,gejiu,23.306,103.1635,24.56,19,1,6.65,CN,2023-04-05 09:00:00
136,saint-paul,-21.0096,55.2707,28.45,83,14,3.05,RE,2023-04-05 09:00:00
137,hilo,19.7297,-155.09,21.58,91,83,2.04,US,2023-04-05 09:00:00
138,airai,-8.9266,125.4092,19.4,83,87,0.36,TL,2023-04-05 09:00:00
139,paso de carrasco,-34.8603,-56.0522,17.6,85,50,3.37,UY,2023-04-05 09:00:00
140,denizli,37.8402,29.0698,16.08,64,55,3.29,TR,2023-04-05 09:00:00
141,lebu,-37.6167,-73.65,12.15,84,100,1.92,CL,2023-04-05 09:00:00
142,male,4.1748,73.5089,30.6,67,13,0.77,MV,2023-04-05 09:00:00
143,flin flon,54.7682,-101.865,-17.33,100,74,1.12,CA,2023-04-05 09:00:00
144,iqaluit,63.7506,-68.5145,-20.38,82,60,5.33,CA,2023-04-05 09:00:00
145,grindavik,63.8424,-22.4338,5.88,94,100,5.19,IS,2023-04-05 09:00:00
146,chardara,41.2547,67.9692,13.2,50,100,3.61,KZ,2023-04-05 09:00:00
147,saint-philippe,-21.3585,55.7679,27.61,78,35,2.67,RE,2023-04-05 09:00:00
148,clyde river,70.4692,-68.5914,-24.83,83,1,2.4,CA,2023-04-05 09:00:00
149,yulara,-25.2406,130.9889,31.43,36,59,4.46,AU,2023-04-05 09:00:00
150,oyama,36.3,139.8,20.07,30,99,4.59,JP,2023-04-05 09:00:00
151,codrington,-38.2667,141.9667,16.01,74,49,5.01,AU,2023-04-05 09:00:00
152,okhotsk,59.3833,143.3,-4.71,87,96,1.91,RU,2023-04-05 09:00:00
153,nuuk,64.1835,-51.7216,-3.29,72,18,7.38,GL,2023-04-05 09:00:00
154,saskylakh,71.9167,114.0833,-23.24,89,11,4.2,RU,2023-04-05 09:00:00
155,gat,31.61,34.7642,20.3,82,0,5.32,IL,2023-04-05 09:00:00
156,provideniya,64.3833,-173.3,-20.32,99,49,2.11,RU,2023-04-05 09:00:00
157,pevek,69.7008,170.3133,-21.41,86,41,1.61,RU,2023-04-05 09:00:00
158,shingu,33.7333,135.9833,16.86,66,100,2.42,JP,2023-04-05 09:00:00
159,alta floresta,-9.8756,-56.0861,20.32,98,99,0.5,BR,2023-04-05 09:00:00
160,beringovskiy,63.05,179.3167,-13.16,96,64,0.87,RU,2023-04-05 09:00:00
161,butaritari,3.0707,172.7902,27.52,83,56,8.11,KI,2023-04-05 09:00:00
162,sao gabriel da cachoeira,-0.1303,-67.0892,22.91,98,100,0.7,BR,2023-04-05 09:00:00
163,sakaiminato,35.55,133.2333,14.71,87,100,8.83,JP,2023-04-05 09:00:00
164,riyadh,24.6877,46.7219,27.97,13,80,1.96,SA,2023-04-05 09:00:00
165,polyarnyy,69.1989,33.4478,-1.44,87,100,1.77,RU,2023-04-05 09:00:00
166,ponce,18.073,-66.6185,20.4,87,10,1.42,PR,2023-04-05 09:00:00
167,benjamin aceval,-24.9667,-57.5667,21.0,97,99,0.85,PY,2023-04-05 09:00:00
168,honiara,-9.4333,159.95,28.69,72,81,1.78,SB,2023-04-05 09:00:00
169,krasnoyarskiy,51.965,59.8967,13.96,46,80,4.3,RU,2023-04-05 09:00:00
170,abu dhabi,24.4667,54.3667,24.23,58,14,4.91,AE,2023-04-05 09:00:00
171,deception bay,-27.2,153.0333,25.96,63,3,2.44,AU,2023-04-05 09:00:00
172,santander,43.4647,-3.8044,8.84,77,11,2.26,ES,2023-04-05 09:00:00
173,sorong,-0.8833,131.25,26.93,84,99,14.5,ID,2023-04-05 09:00:00
174,kokstad,-30.5472,29.4241,22.08,61,1,0.94,ZA,2023-04-05 09:00:00
175,nishihara,26.1842,127.7558,22.72,68,62,6.17,JP,2023-04-05 09:00:00
176,esperance,-33.8667,121.9,19.74,63,25,12.1,AU,2023-04-05 09:00:00
177,pucallpa,-8.3791,-74.5539,21.64,99,87,0.35,PE,2023-04-05 09:00:00
178,hassleholm,56.1591,13.7664,5.13,71,82,1.58,SE,2023-04-05 09:00:00
179,juruti,-2.1522,-56.0922,22.82,92,66,1.32,BR,2023-04-05 09:00:00
180,canillo,42.5833,1.6667,3.08,37,1,2.76,AD,2023-04-05 09:00:00
181,high level,58.5169,-117.136,-5.71,90,32,2.29,CA,2023-04-05 09:00:00
182,oda,35.1833,132.5,14.41,84,100,8.73,JP,2023-04-05 09:00:00
183,turukhansk,65.8167,87.9833,-4.91,73,74,9.2,RU,2023-04-05 09:00:00
184,kavieng,-2.5744,150.7967,28.57,72,87,2.04,PG,2023-04-05 09:00:00
185,avera,33.194,-82.5271,17.93,95,56,2.26,US,2023-04-05 09:00:00
186,pundaguitan,6.3711,126.1689,27.65,72,61,3.71,PH,2023-04-05 09:00:00
187,sistranda,63.7256,8.834,3.2,81,96,4.24,NO,2023-04-05 09:00:00
188,port lincoln,-34.7333,135.8667,22.05,56,91,7.71,AU,2023-04-05 09:00:00
189,lebedinyy,58.5167,125.5167,-9.93,79,93,7.26,RU,2023-04-05 09:00:00
190,kruisfontein,-34.0033,24.7314,26.98,59,6,2.7,ZA,2023-04-05 09:00:00
